Iteracion,Hora
0,0.1540948275862069
1,0.3081896551724138
2,0.4622844827586207
3,0.6163793103448276
4,0.7704741379310345
5,0.9245689655172413
6,1.0786637931034482
7,1.232758620689655
8,1.3868534482758619
9,1.5409482758620687
10,1.6950431034482756
11,1.8491379310344824
12,2.0032327586206895
13,2.1573275862068964
14,2.311422413793103
15,2.46551724137931
16,2.619612068965517
17,2.7737068965517238
18,2.9278017241379306
19,3.0818965517241375
20,3.2359913793103443
21,3.390086206896551
22,3.544181034482758
23,3.698275862068965
24,3.8523706896551717
25,4.006465517241379
26,4.160560344827586
27,4.314655172413794
28,4.468750000000001
