Iteracion,Hora
0,0.13631465517241378
1,0.27262931034482757
2,0.4089439655172413
3,0.5452586206896551
4,0.681573275862069
5,0.8178879310344828
6,0.9542025862068966
7,1.0905172413793103
8,1.226831896551724
9,1.3631465517241377
10,1.4994612068965514
11,1.635775862068965
12,1.7720905172413788
13,1.9084051724137925
14,2.0447198275862064
15,2.18103448275862
16,2.317349137931034
17,2.4536637931034475
18,2.589978448275861
19,2.726293103448275
20,2.8626077586206886
21,2.9989224137931023
22,3.135237068965516
23,3.2715517241379297
24,3.4078663793103434
25,3.544181034482757
26,3.680495689655171
27,3.8168103448275845
28,3.9531249999999982
