0,0.0
1,0.03125
2,0.03125
3,0.0625
4,0.0625
5,0.0625
6,0.0625
7,0.09375
8,0.109375
9,0.109375
10,0.140625
11,0.15625
12,0.234375
13,0.25
14,0.25
15,0.25
16,0.265625
17,0.265625
18,0.265625
19,0.28125
20,0.296875
21,0.296875
22,0.296875
23,0.296875
24,0.296875
25,0.296875
26,0.296875
27,0.3125
28,0.3125
29,0.328125
30,0.328125
31,0.34375
32,0.359375
33,0.359375
34,0.375
35,0.375
36,0.375
37,0.375
38,0.390625
39,0.390625
40,0.390625
41,0.40625
42,0.40625
43,0.421875
44,0.421875
45,0.4375
46,0.4375
47,0.453125
48,0.453125
49,0.453125
