Chile,-1644605264.9185631
Chile,-1644605442.8808458
Chile,-1644606011.1460264
Chile,-1644606179.8877738
Chile,-1644606190.2848725
,-1644606788.518076
5,-1644607311.9807558
5,-1644607324.8729005
10,-1644607341.5345447
10,-1644607374.3912117
20,-1644607553.8987057
,-1644607610.4397347
"""""",-1644608236.8137462
"""""",-1644608247.256316
"""""",-1644608278.3126924
"""""",-1644608315.542168
,-1644608367.1420429
Chile,-1644609059.816846
Chile,-1644609084.8903184
Chile,-1644609161.1420252
"""Chile""",-1644609211.297252
"""""Chile""""",-1644609291.9203515
"""Chile""",-1644609324.791396
Chile,-1644609379.150202
"""Chile""",-1644609386.151222
Chile,0.0
Uruguay,0.0
fgdfg,0.015625
dfsf,0.015625
Portugal,0.015625
"""Portugal""",0.015625
Portugal,0.0
Dinamarca,0.0
Dinamarca,0.015625
Dinamarca,0.0
Chile,0.015625
Chile,0.0
"[{'_id': ObjectId('61feeedb96876c07d38c87c9'), 'id_pais': 43, 'Nombre': 'Chile'}]",0.015625
[],0.0
"[{'_id': ObjectId('61feeedb96876c07d38c8850'), 'id_pais': 178, 'Nombre': 'Portugal'}]",0.015625
[],0.015625
[],0.015625
"[{'_id': ObjectId('61feeedb96876c07d38c87bc'), 'id_pais': 30, 'Nombre': 'Brazil'}]",0.0
