Iteracion,Hora
0,0.1740301724137931
1,0.3480603448275862
2,0.5220905172413792
3,0.6961206896551724
4,0.8701508620689655
5,1.0441810344827587
6,1.2182112068965518
7,1.392241379310345
8,1.5662715517241381
9,1.7403017241379313
10,1.9143318965517244
11,2.0883620689655173
12,2.2623922413793105
13,2.4364224137931036
14,2.610452586206897
15,2.78448275862069
16,2.958512931034483
17,3.1325431034482762
18,3.3065732758620694
19,3.4806034482758625
20,3.6546336206896557
21,3.828663793103449
22,4.002693965517242
23,4.176724137931035
24,4.350754310344827
25,4.52478448275862
26,4.698814655172413
27,4.8728448275862055
28,5.046874999999998
