Iteracion,Hora
0,0.23760775862068967
1,0.47521551724137934
2,0.712823275862069
3,0.9504310344827587
4,1.1880387931034484
5,1.4256465517241381
6,1.6632543103448278
7,1.9008620689655176
8,2.1384698275862073
9,2.376077586206897
10,2.6136853448275863
11,2.851293103448276
12,3.0889008620689653
13,3.326508620689655
14,3.5641163793103443
15,3.801724137931034
16,4.039331896551723
17,4.276939655172413
18,4.514547413793102
19,4.752155172413792
20,4.989762931034481
21,5.227370689655171
22,5.46497844827586
23,5.70258620689655
24,5.940193965517239
25,6.177801724137929
26,6.415409482758618
27,6.653017241379308
28,6.890624999999997
