Iteracion,Hora
0,0.16864224137931033
1,0.33728448275862066
2,0.505926724137931
3,0.6745689655172413
4,0.8432112068965516
5,1.0118534482758619
6,1.1804956896551722
7,1.3491379310344824
8,1.5177801724137927
9,1.686422413793103
10,1.8550646551724133
11,2.0237068965517238
12,2.1923491379310343
13,2.3609913793103448
14,2.5296336206896552
15,2.6982758620689657
16,2.8669181034482762
17,3.0355603448275867
18,3.2042025862068972
19,3.3728448275862077
20,3.5414870689655182
21,3.7101293103448287
22,3.8787715517241392
23,4.047413793103449
24,4.21605603448276
25,4.38469827586207
26,4.553340517241381
27,4.721982758620691
28,4.890625000000002
