Iteracion,Hora
0,0
1,0.24407327586206898
2,0.48814655172413796
3,0.732219827586207
4,0.9762931034482759
5,1.220366379310345
6,1.4655172413793105
7,1.710668103448276
8,1.9558189655172415
9,2.2009698275862073
10,2.4461206896551726
11,2.691271551724138
12,2.936422413793103
13,3.1815732758620685
14,3.426724137931034
15,3.671874999999999
16,3.9170258620689644
17,4.16217672413793
18,4.407327586206895
19,4.65247844827586
20,4.897629310344826
21,5.142780172413791
22,5.387931034482756
23,5.6330818965517215
24,5.878232758620687
25,6.123383620689652
26,6.368534482758617
27,6.613685344827583
28,6.858836206896548
